code,name,id,dis,typeTags,referencesTags,isAnalytics,kind,roots,unit
ACFREQ,AC Frequency,"ACFREQ or if more than 1 in the equip/device, use <CODE> + - + <INTEGER>  : ACFREQ-1, ACFREQ-2, etc.","AC Frequency or if more than 1 in the equip/device, use <NAME> + - + <INTEGER>  : AC Frequency-1, AC Frequency-2, etc.",ac|elec|freq|sensor,equipRef|deviceRef|siteRef|spaceRef,TRUE,Number,EM,Frequency
ACI,Single Phase AC Current Sensor,"ACI or if more than 1 in the equip/device, use <CODE> + - + <INTEGER>  : ACI-1, ACI-2, etc.","AC Current or if more than 1 in the equip/device, use <NAME> + - + <INTEGER>  : AC Current-1, AC Current-2, etc.",ac|current|elec|magnitude|sensor,equipRef|deviceRef|siteRef|spaceRef,TRUE,Number,PDU|EM|UPS,Electric Current
ACIA,AC Current Phase A,"ACIA or if more than 1 in the equip/device, use <CODE> + - + <INTEGER>  : ACIA-1, ACIA-2, etc.","AC Current Phase A or if more than 1 in the equip/device, use <NAME> + - + <INTEGER>  : AC Current Phase A-1, AC Current Phase A-2, etc.",ac|current|elec|magnitude|phase|sensor,equipRef|deviceRef|siteRef|spaceRef,TRUE,Number,PDU|EM|UPS,Electric Current
ACIAVG,Average AC Current,"ACIAVG or if more than 1 in the equip/device, use <CODE> + - + <INTEGER>  : ACIAVG-1, ACIAVG-2, etc.","Average AC Current or if more than 1 in the equip/device, use <NAME> + - + <INTEGER>  : Average AC Current-1, Average AC Current-2, etc.",ac|avg|current|elec|magnitude|sensor,equipRef|deviceRef|siteRef|spaceRef,TRUE,Number,EM,Electric Current
ACIB,AC Current Phase B,"ACIB or if more than 1 in the equip/device, use <CODE> + - + <INTEGER>  : ACIB-1, ACIB-2, etc.","AC Current Phase B or if more than 1 in the equip/device, use <NAME> + - + <INTEGER>  : AC Current Phase B-1, AC Current Phase B-2, etc.",ac|current|elec|magnitude|phase|sensor,equipRef|deviceRef|siteRef|spaceRef,TRUE,Number,PDU|EM|UPS,Electric Current
ACIC,AC Current Phase C,"ACIC or if more than 1 in the equip/device, use <CODE> + - + <INTEGER>  : ACIC-1, ACIC-2, etc.","AC Current Phase C or if more than 1 in the equip/device, use <NAME> + - + <INTEGER>  : AC Current Phase C-1, AC Current Phase C-2, etc.",ac|current|elec|magnitude|phase|sensor,equipRef|deviceRef|siteRef|spaceRef,TRUE,Number,PDU|EM|UPS,Electric Current
ACITTL,Total Multi-Phase AC Current,"ACITTL or if more than 1 in the equip/device, use <CODE> + - + <INTEGER>  : ACITTL-1, ACITTL-2, etc.","Total AC Current or if more than 1 in the equip/device, use <NAME> + - + <INTEGER>  : Total AC Current-1, Total AC Current-2, etc.",ac|current|elec|magnitude|sensor|total,equipRef|deviceRef|siteRef|spaceRef,TRUE,Number,EM,Electric Current
ACPF,Power Factor,"ACPF or if more than 1 in the equip/device, use <CODE> + - + <INTEGER>  : ACPF-1, ACPF-2, etc.","Power Factor or if more than 1 in the equip/device, use <NAME> + - + <INTEGER>  : Power Factor-1, Power Factor-2, etc.",ac|elec|pf|sensor,equipRef|deviceRef|siteRef|spaceRef,TRUE,Number,EM,Power Factor
ACPFA,Power Factor Phase A,"ACPFA or if more than 1 in the equip/device, use <CODE> + - + <INTEGER>  : ACPFA-1, ACPFA-2, etc.","Power Factor Phase A or if more than 1 in the equip/device, use <NAME> + - + <INTEGER>  : Power Factor Phase A-1, Power Factor Phase A-2, etc.",ac|elec|pf|phase|sensor,equipRef|deviceRef|siteRef|spaceRef,TRUE,Number,EM,Power Factor
ACPFAVG,Average Multi-Phase Power Factor,"ACPFAVG or if more than 1 in the equip/device, use <CODE> + - + <INTEGER>  : ACPFAVG-1, ACPFAVG-2, etc.","Average Power Factor or if more than 1 in the equip/device, use <NAME> + - + <INTEGER>  : Average Power Factor-1, Average Power Factor-2, etc.",ac|elec|avg|pf|sensor,equipRef|deviceRef|siteRef|spaceRef,TRUE,Number,EM,Power Factor
